date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel
2020-03-02T00:00:00.000Z,1,10,10,0,0,10,0,0,1810,0.005524861878453038,5632,-313,0
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1810,0.005524861878453038,7857,-311,0
2020-03-04T00:00:00.000Z,0,12,11,0,0,12,0,0,1810,0.006629834254143647,7012,-313,0
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1810,0.007182320441988951,7012,-313,0
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1810,0.008839779005524863,5177,-312,0
2020-03-07T00:00:00.000Z,1,21,21,3,0,18,2,0,1810,0.01160220994475138,4861,-313,0
2020-03-08T00:00:00.000Z,2,27,27,5,0,22,4,0,1810,0.0149171270718232,7330,-311,0
2020-03-09T00:00:00.000Z,7,41,41,6,0,35,5,0,1810,0.02265193370165746,6205,-321,0
2020-03-10T00:00:00.000Z,2,61,61,6,0,55,5,0,1810,0.03370165745856354,6021,-308,0
2020-03-11T00:00:00.000Z,10,84,83,7,1,76,6,0,1810,0.04640883977900553,5981,-311,0
2020-03-12T00:00:00.000Z,6,106,104,7,1,98,6,0,1810,0.05856353591160221,5983,-310,0
2020-03-13T00:00:00.000Z,10,126,125,7,5,114,6,0,1810,0.06961325966850829,4121,-297,0
2020-03-14T00:00:00.000Z,20,166,164,6,5,155,4,0,1810,0.09171270718232044,3692,-307,0
2020-03-15T00:00:00.000Z,37,205,203,9,7,189,6,0,1810,0.1132596685082873,5489,-307,0
2020-03-16T00:00:00.000Z,27,225,219,11,6,208,7,0,1810,0.1243093922651934,4757,-250,0
2020-03-17T00:00:00.000Z,46,260,260,12,7,241,7,0,1810,0.143646408839779,4336,-201,0
2020-03-18T00:00:00.000Z,54,313,274,17,12,284,7,1,1810,0.1729281767955801,3920,-104,0
2020-03-19T00:00:00.000Z,31,300,269,21,12,267,12,0,1810,0.1657458563535912,4053,28,0
2020-03-20T00:00:00.000Z,30,293,255,23,15,255,12,1,1810,0.161878453038674,3207,204,0
2020-03-21T00:00:00.000Z,35,283,280,27,22,234,15,0,1810,0.156353591160221,2905,385,0
2020-03-22T00:00:00.000Z,54,331,312,38,33,260,22,0,1810,0.1828729281767956,4523,599,0
2020-03-23T00:00:00.000Z,58,363,330,44,37,282,24,0,1810,0.2005524861878453,4053,920,0
2020-03-24T00:00:00.000Z,82,406,354,48,49,309,26,3,1810,0.2243093922651934,3963,1307,0
2020-03-25T00:00:00.000Z,81,427,410,52,54,321,28,1,1810,0.2359116022099448,3666,1662,0
2020-03-26T00:00:00.000Z,82,483,430,56,67,360,31,5,1810,0.2668508287292818,3925,2141,0
2020-03-27T00:00:00.000Z,110,531,482,66,71,394,37,2,1810,0.2933701657458563,3267,2508,0
2020-03-28T00:00:00.000Z,53,527,496,70,83,374,41,1,1810,0.2911602209944751,2834,2949,0
2020-03-29T00:00:00.000Z,70,555,528,80,89,386,51,3,1810,0.3066298342541436,4289,3412,0
2020-03-30T00:00:00.000Z,121,633,584,89,105,439,54,1,1810,0.3497237569060773,3886,3862,0
2020-03-31T00:00:00.000Z,111,683,640,99,114,470,64,4,1810,0.3773480662983426,4005,4470,0
2020-04-01T00:00:00.000Z,147,773,731,111,143,519,72,8,1810,0.4270718232044199,4088,4317,689
2020-04-02T00:00:00.000Z,115,814,729,113,145,556,79,9,1810,0.4497237569060774,4284,4902,720
2020-04-03T00:00:00.000Z,97,812,723,131,159,522,93,5,1810,0.4486187845303867,3494,5410,717
2020-04-04T00:00:00.000Z,73,788,750,140,170,478,107,6,1810,0.4353591160220994,3155,5742,718
2020-04-05T00:00:00.000Z,100,824,738,135,193,496,107,7,1810,0.4552486187845304,4495,6241,693
2020-04-06T00:00:00.000Z,94,807,694,147,208,452,110,8,1810,0.4458563535911602,4088,6521,796
2020-04-07T00:00:00.000Z,72,747,651,160,204,383,106,7,1810,0.412707182320442,4313,6764,819
2020-04-08T00:00:00.000Z,57,693,615,166,196,331,115,9,1810,0.3828729281767956,3511,6937,859
2020-04-09T00:00:00.000Z,65,666,632,166,189,311,117,9,1810,0.3679558011049724,3363,7041,944
2020-04-10T00:00:00.000Z,55,672,598,170,173,329,128,8,1810,0.3712707182320442,4086,7163,1002
2020-04-11T00:00:00.000Z,40,625,593,182,163,280,130,6,1810,0.3453038674033149,3172,7272,1061
2020-04-12T00:00:00.000Z,90,668,619,177,175,316,130,7,1810,0.369060773480663,4965,7412,1074
2020-04-13T00:00:00.000Z,91,695,629,192,169,334,137,8,1810,0.3839779005524862,4653,7394,1181
2020-04-14T00:00:00.000Z,75,682,634,178,173,331,134,8,1810,0.3767955801104972,4376,7356,1229
2020-04-15T00:00:00.000Z,69,689,663,179,175,335,132,13,1810,0.3806629834254144,3492,7298,1238
2020-04-16T00:00:00.000Z,51,699,637,181,162,356,137,7,1810,0.3861878453038674,5388,7122,1366
2020-04-17T00:00:00.000Z,48,665,611,165,163,337,124,9,1810,0.3674033149171271,4188,7077,1348
2020-04-18T00:00:00.000Z,42,635,609,174,141,320,118,11,1810,0.350828729281768,3825,6651,1661
2020-04-19T00:00:00.000Z,40,622,572,157,148,317,118,8,1810,0.343646408839779,5788,6583,1707
2020-04-20T00:00:00.000Z,49,599,546,154,135,310,123,6,1810,0.330939226519337,5097,6341,1723
2020-04-21T00:00:00.000Z,27,545,507,145,146,254,119,9,1810,0.3011049723756906,4921,6176,1738
2020-04-22T00:00:00.000Z,36,524,488,149,122,253,110,3,1810,0.2895027624309393,4822,6048,1739
2020-04-23T00:00:00.000Z,32,495,446,146,106,243,114,4,1810,0.2734806629834254,5353,6098,1605
2020-04-24T00:00:00.000Z,26,464,440,144,109,211,108,3,1810,0.256353591160221,4411,5696,1751
2020-04-25T00:00:00.000Z,8,438,424,136,105,197,107,3,1810,0.2419889502762431,3643,5450,1762
2020-04-26T00:00:00.000Z,33,435,407,142,91,202,111,2,1810,0.2403314917127072,5757,5314,1737
2020-04-27T00:00:00.000Z,21,410,376,132,89,189,101,4,1810,0.2265193370165746,5298,4853,1775
2020-04-28T00:00:00.000Z,28,390,365,127,85,178,100,5,1810,0.2154696132596685,4854,4585,1726
2020-04-29T00:00:00.000Z,23,381,366,122,86,173,96,6,1810,0.2104972375690608,4207,4238,1726
2020-04-30T00:00:00.000Z,19,375,342,112,87,176,90,6,1810,0.207182320441989,5673,3993,1721
2020-05-01T00:00:00.000Z,20,343,324,109,81,153,89,4,1810,0.1895027624309392,4551,3459,1746
2020-05-02T00:00:00.000Z,14,336,329,111,66,159,90,3,1810,0.1856353591160221,3973,3401,1610
2020-05-03T00:00:00.000Z,14,324,298,101,71,152,84,3,1810,0.1790055248618785,5982,3302,1591
2020-05-04T00:00:00.000Z,19,306,274,97,71,138,78,3,1810,0.169060773480663,5531,3068,1545
2020-05-05T00:00:00.000Z,9,269,255,91,61,117,72,2,1810,0.1486187845303867,5408,2831,1488
2020-05-06T00:00:00.000Z,15,266,247,88,61,117,70,1,1810,0.1469613259668508,5362,2738,1439
2020-05-07T00:00:00.000Z,13,252,241,84,59,109,70,1,1810,0.1392265193370166,5634,2552,1423
2020-05-08T00:00:00.000Z,13,241,237,78,53,110,64,6,1810,0.1331491712707182,4819,2349,1365
2020-05-09T00:00:00.000Z,10,244,242,78,50,116,64,2,1810,0.1348066298342542,3270,2420,1204
2020-05-10T00:00:00.000Z,14,244,227,74,52,118,66,5,1810,0.1348066298342542,6334,2327,1202
2020-05-11T00:00:00.000Z,9,227,211,69,54,104,60,5,1810,0.125414364640884,5506,1946,1208
2020-05-12T00:00:00.000Z,10,219,201,65,52,102,56,3,1810,0.1209944751381216,5597,1932,1054
2020-05-13T00:00:00.000Z,10,200,197,61,48,91,53,3,1810,0.1104972375690608,5581,1883,968
2020-05-14T00:00:00.000Z,6,195,186,61,43,91,52,2,1810,0.1077348066298343,5986,1725,917
2020-05-15T00:00:00.000Z,1,186,182,61,43,82,52,0,1810,0.1027624309392265,5174,1618,814
