age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,245714,175834,618088,39.8,28.4,8,0
16-19,459217,401260,583545,78.7,68.8,77,0
20-29,1036517,944291,1300361,79.7,72.6,840,0.1
30-39,1004753,934633,1197026,83.9,78.1,10297,0.9
40-49,954698,893984,1098556,86.9,81.4,20396,1.9
50-59,766707,722733,849966,90.2,85,245014,28.8
60-69,677225,649191,741639,91.3,87.5,420074,56.6
70-79,470733,458323,490784,95.9,93.4,359818,73.3
80-89,213090,207089,225538,94.5,91.8,155879,69.1
90+,48424,46606,51496,94,90.5,32853,63.8
