name,value
פסיכולוגיה,21
פראמדיקים,41
ריפוי בעיסוק,44
קלינאות תקשורת,51
שירות סוציאלי,59
פיזיותרפיה,67
מעבדה,91
רוקחות,99
מערך לוגיסטי,122
כוח עזר,210
חובשי רפואת חירום,353
מינהל ומשק,1045
סקטורים אחרים,2145
