age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,23522,1856,1505185,1.6,0.1
20-29,153964,16656,1277634,12.1,1.3
30-39,189720,29447,1186386,16,2.5
40-49,326989,43285,1080768,30.3,4
50-59,429196,51341,832687,51.5,6.2
60-69,510027,167542,735380,69.4,22.8
70-79,402020,154647,462148,87,33.5
80-89,178109,58718,222547,80,26.4
90+,41784,12513,50589,82.6,24.7
