age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,339570,302010,1538337,22.1,19.6
20-29,987535,893692,1300361,75.9,68.7
30-39,958769,886410,1197026,80.1,74.1
40-49,924547,865633,1098556,84.2,78.8
50-59,754525,709232,849966,88.8,83.4
60-69,666201,635398,741639,89.8,85.7
70-79,482068,465515,490784,98.2,94.9
80-89,215836,207841,225538,95.7,92.2
90+,51030,48202,51496,99.1,93.6
