instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,43.8,63.1,2022-02-08T00:00:00.000Z
רבין ק. השרון,45.6,70.5,2022-02-08T00:00:00.000Z
פוריה,52.6,73,2022-02-08T00:00:00.000Z
בני ציון,53.7,77.6,2022-02-08T00:00:00.000Z
הכרמל,53.8,84.7,2022-02-08T00:00:00.000Z
וולפסון,57,80.1,2022-02-08T00:00:00.000Z
זיו צפת,59.4,72.6,2022-02-08T00:00:00.000Z
נהריה,70.5,79.6,2022-02-08T00:00:00.000Z
"רמב""ם",70.7,83.9,2022-02-08T00:00:00.000Z
מאיר,72.5,82.3,2022-02-08T00:00:00.000Z
קפלן,72,82.9,2022-02-08T00:00:00.000Z
סורוקה,74.8,77.7,2022-02-08T00:00:00.000Z
המרכזי בעמק,74.2,68.2,2022-02-08T00:00:00.000Z
הדסה הר הצופים,77.8,83.7,2022-02-08T00:00:00.000Z
שמיר,78.8,80,2022-02-08T00:00:00.000Z
רבין ק. בילינסון,80.2,97.1,2022-02-08T00:00:00.000Z
שערי צדק,80.7,111.3,2022-02-08T00:00:00.000Z
לניאדו,82.1,106.4,2022-02-08T00:00:00.000Z
ברזילי,83.9,81.5,2022-02-08T00:00:00.000Z
שיבא,94.1,104.5,2022-02-08T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.2,2022-02-08T00:00:00.000Z
הדסה עין כרם,102.9,99.2,2022-02-08T00:00:00.000Z
אסותא אשדוד,110.2,104.4,2022-02-08T00:00:00.000Z
