gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,6 חודשים,266424,11.7,3,0.1,16,1,57,0.7
זכר,0-9,3 חודשים,203617,10.9,2,0.2,11,1.3,31,0.8
זכר,0-9,חודש אחרון,191692,11.2,0,0,11,1.6,29,0.8
זכר,0-9,מתחילת קורונה,343360,10.8,5,0.1,24,0.4,87,0.3
זכר,0-9,שנה,293171,11.7,3,0.1,18,0.7,68,0.5
נקבה,0-9,3 חודשים,147739,7.9,1,0.1,7,0.9,20,0.5
נקבה,0-9,6 חודשים,203058,8.9,1,0,7,0.4,33,0.4
נקבה,0-9,מתחילת קורונה,267684,8.4,4,0,15,0.3,55,0.2
נקבה,0-9,שנה,225962,9,3,0.1,12,0.4,45,0.3
נקבה,0-9,חודש אחרון,135392,7.9,1,0.1,7,1,17,0.5
זכר,10-19,6 חודשים,252486,11.1,2,0.1,10,0.6,27,0.3
זכר,10-19,מתחילת קורונה,357049,11.2,4,0,21,0.4,62,0.2
זכר,10-19,3 חודשים,207423,11.1,1,0.1,5,0.6,15,0.4
זכר,10-19,חודש אחרון,191409,11.1,1,0.1,5,0.7,11,0.3
זכר,10-19,שנה,276642,11.1,2,0,11,0.4,39,0.3
נקבה,10-19,מתחילת קורונה,328561,10.3,4,0,19,0.4,62,0.2
נקבה,10-19,חודש אחרון,172733,10.1,0,0,6,0.9,7,0.2
נקבה,10-19,3 חודשים,192879,10.3,0,0,7,0.9,10,0.3
נקבה,10-19,6 חודשים,237810,10.4,1,0,11,0.7,24,0.3
נקבה,10-19,שנה,261251,10.4,1,0,14,0.5,40,0.3
זכר,20-29,שנה,145084,5.8,14,0.3,37,1.4,139,1
זכר,20-29,חודש אחרון,94591,5.5,1,0.1,5,0.7,21,0.6
זכר,20-29,מתחילת קורונה,205235,6.4,24,0.3,47,0.9,204,0.8
זכר,20-29,3 חודשים,104477,5.6,2,0.2,7,0.9,25,0.6
זכר,20-29,6 חודשים,129582,5.7,5,0.2,18,1.1,70,0.8
נקבה,20-29,מתחילת קורונה,279155,8.8,17,0.2,55,1,244,0.9
נקבה,20-29,3 חודשים,158566,8.5,1,0.1,12,1.5,22,0.6
נקבה,20-29,שנה,211954,8.5,8,0.2,29,1.1,150,1.1
נקבה,20-29,חודש אחרון,144525,8.4,1,0.1,9,1.3,13,0.4
נקבה,20-29,6 חודשים,191428,8.4,4,0.2,17,1,83,1
זכר,30-39,6 חודשים,129431,5.7,16,0.6,30,1.8,178,2.1
זכר,30-39,מתחילת קורונה,186899,5.9,47,0.5,85,1.6,558,2.1
זכר,30-39,שנה,143059,5.7,32,0.8,52,1.9,342,2.6
זכר,30-39,3 חודשים,105183,5.6,5,0.5,14,1.7,39,1
זכר,30-39,חודש אחרון,97287,5.7,3,0.3,11,1.6,30,0.8
נקבה,30-39,3 חודשים,164010,8.8,0,0,10,1.2,49,1.2
נקבה,30-39,מתחילת קורונה,266094,8.4,31,0.3,87,1.6,539,2.1
נקבה,30-39,6 חודשים,198792,8.7,9,0.4,27,1.7,186,2.2
נקבה,30-39,שנה,216183,8.6,19,0.5,60,2.2,354,2.7
נקבה,30-39,חודש אחרון,152253,8.9,0,0,6,0.9,37,1
זכר,40-49,חודש אחרון,90351,5.3,4,0.4,26,3.8,63,1.8
זכר,40-49,6 חודשים,116622,5.1,38,1.5,78,4.8,365,4.3
זכר,40-49,3 חודשים,97688,5.2,9,0.9,39,4.8,87,2.2
זכר,40-49,שנה,127628,5.1,66,1.6,143,5.3,688,5.2
זכר,40-49,מתחילת קורונה,165504,5.2,108,1.2,230,4.2,1275,4.9
נקבה,40-49,3 חודשים,146034,7.8,9,0.9,21,2.6,57,1.4
נקבה,40-49,חודש אחרון,135116,7.9,5,0.6,12,1.7,44,1.2
נקבה,40-49,מתחילת קורונה,228954,7.2,71,0.8,136,2.5,867,3.3
נקבה,40-49,6 חודשים,170318,7.5,16,0.6,43,2.6,275,3.2
נקבה,40-49,שנה,183926,7.3,39,1,79,2.9,512,3.8
זכר,50-59,שנה,81407,3.3,170,4.2,261,9.6,1000,7.5
זכר,50-59,3 חודשים,64420,3.5,30,2.9,67,8.2,192,4.9
זכר,50-59,חודש אחרון,59789,3.5,21,2.3,51,7.4,172,4.8
זכר,50-59,6 חודשים,74469,3.3,89,3.5,141,8.6,574,6.7
זכר,50-59,מתחילת קורונה,110454,3.5,344,3.7,492,9.1,2094,8
נקבה,50-59,מתחילת קורונה,146932,4.6,175,1.9,239,4.4,1441,5.5
נקבה,50-59,חודש אחרון,86229,5,12,1.3,39,5.7,115,3.2
נקבה,50-59,שנה,113960,4.6,93,2.3,153,5.6,768,5.8
נקבה,50-59,6 חודשים,105155,4.6,48,1.9,89,5.4,423,4.9
נקבה,50-59,3 חודשים,92277,5,18,1.7,49,6,139,3.5
זכר,60-69,מתחילת קורונה,74515,2.3,880,9.6,844,15.6,2995,11.5
זכר,60-69,חודש אחרון,40586,2.4,53,5.9,75,10.9,313,8.7
זכר,60-69,6 חודשים,49432,2.2,224,8.8,206,12.6,840,9.8
זכר,60-69,שנה,54212,2.2,376,9.3,356,13.1,1331,10
זכר,60-69,3 חודשים,43739,2.3,71,6.9,97,11.8,352,8.9
נקבה,60-69,חודש אחרון,55068,3.2,34,3.8,50,7.3,218,6.1
נקבה,60-69,6 חודשים,66072,2.9,176,6.9,161,9.8,628,7.3
נקבה,60-69,שנה,71894,2.9,268,6.6,259,9.6,1032,7.7
נקבה,60-69,3 חודשים,58923,3.2,46,4.5,65,7.9,247,6.3
