instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,46.5,65.6,2022-02-06T00:00:00.000Z
הכרמל,56.6,80.6,2022-02-06T00:00:00.000Z
וולפסון,57.4,82.4,2022-02-06T00:00:00.000Z
בני ציון,59.5,77.8,2022-02-06T00:00:00.000Z
פוריה,59,68.5,2022-02-06T00:00:00.000Z
מאיר,66.5,84.6,2022-02-06T00:00:00.000Z
יוספטל,68.8,56.9,2022-02-06T00:00:00.000Z
נהריה,69.5,78.1,2022-02-06T00:00:00.000Z
שערי צדק,72.7,107.7,2022-02-06T00:00:00.000Z
סורוקה,72.1,75.4,2022-02-06T00:00:00.000Z
זיו צפת,73.4,69.5,2022-02-06T00:00:00.000Z
"רמב""ם",75.8,85.9,2022-02-06T00:00:00.000Z
הדסה הר הצופים,75,82.6,2022-02-06T00:00:00.000Z
שמיר,78.8,79.2,2022-02-06T00:00:00.000Z
קפלן,81.3,83.6,2022-02-06T00:00:00.000Z
המרכזי בעמק,82.6,67.4,2022-02-06T00:00:00.000Z
רבין ק. בילינסון,88.1,91.3,2022-02-06T00:00:00.000Z
שיבא,89.1,95.3,2022-02-06T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.9,2022-02-06T00:00:00.000Z
ברזילי,90.1,85.3,2022-02-06T00:00:00.000Z
לניאדו,97.4,98.9,2022-02-06T00:00:00.000Z
הדסה עין כרם,101,92.3,2022-02-06T00:00:00.000Z
אסותא אשדוד,101.7,99.7,2022-02-06T00:00:00.000Z
