name,value
מספר דיאטניות בבידוד,3
מספר פסיכולוגים/ות בבידוד,8
מספר עובדי מערך לוגיסטי בבידוד,9
מספר פרמדיקים בבידוד,10
מספר עוסים בבידוד,11
מספר רוקחים בבידוד,31
מספר עובדי מעבדה בבידוד,33
מספר פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת בבידוד,36
מספר חובשי רפואת חירום בבידוד,62
סקטורים אחרים בבידוד,72
מספר אנשי כוח עזר בבידוד,98
מספר עובדי מינהל ומשק בבידוד,231
