section,female,male,period,order_period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 3, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה,2
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",6 חודשים,3
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
0-9,"{'amount': 3, 'percentage': 0}","{'amount': 3, 'percentage': 0}",מתחילת קורונה,1
10-19,"{'amount': 4, 'percentage': 0}","{'amount': 4, 'percentage': 0}",מתחילת קורונה,1
10-19,"{'amount': 1, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.4}",חודש אחרון,5
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 1, 'percentage': 0}","{'amount': 3, 'percentage': 0.1}",שנה,2
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.2}",6 חודשים,3
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.2}",3 חודשים,4
20-29,"{'amount': 1, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.4}",חודש אחרון,5
20-29,"{'amount': 16, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.3}",מתחילת קורונה,1
20-29,"{'amount': 13, 'percentage': 0.2}","{'amount': 21, 'percentage': 0.4}",שנה,2
30-39,"{'amount': 27, 'percentage': 0.5}","{'amount': 31, 'percentage': 0.6}",שנה,2
30-39,"{'amount': 10, 'percentage': 0.6}","{'amount': 13, 'percentage': 0.8}",6 חודשים,3
30-39,"{'amount': 9, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.6}",3 חודשים,4
30-39,"{'amount': 1, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.7}",חודש אחרון,5
30-39,"{'amount': 31, 'percentage': 0.4}","{'amount': 41, 'percentage': 0.5}",מתחילת קורונה,1
40-49,"{'amount': 51, 'percentage': 0.9}","{'amount': 77, 'percentage': 1.4}",שנה,2
40-49,"{'amount': 6, 'percentage': 0.4}","{'amount': 30, 'percentage': 1.8}",6 חודשים,3
40-49,"{'amount': 6, 'percentage': 0.4}","{'amount': 27, 'percentage': 1.7}",3 חודשים,4
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 11, 'percentage': 3.9}",חודש אחרון,5
40-49,"{'amount': 62, 'percentage': 0.8}","{'amount': 97, 'percentage': 1.2}",מתחילת קורונה,1
50-59,"{'amount': 39, 'percentage': 2.3}","{'amount': 62, 'percentage': 3.6}",6 חודשים,3
50-59,"{'amount': 32, 'percentage': 2}","{'amount': 57, 'percentage': 3.6}",3 חודשים,4
50-59,"{'amount': 113, 'percentage': 2}","{'amount': 224, 'percentage': 4.1}",שנה,2
50-59,"{'amount': 157, 'percentage': 1.9}","{'amount': 308, 'percentage': 3.8}",מתחילת קורונה,1
50-59,"{'amount': 11, 'percentage': 3.9}","{'amount': 17, 'percentage': 6}",חודש אחרון,5
60-69,"{'amount': 131, 'percentage': 8.2}","{'amount': 153, 'percentage': 9.6}",3 חודשים,4
60-69,"{'amount': 134, 'percentage': 7.9}","{'amount': 160, 'percentage': 9.4}",6 חודשים,3
60-69,"{'amount': 31, 'percentage': 10.9}","{'amount': 35, 'percentage': 12.3}",חודש אחרון,5
60-69,"{'amount': 436, 'percentage': 5.4}","{'amount': 800, 'percentage': 9.9}",מתחילת קורונה,1
60-69,"{'amount': 340, 'percentage': 6.1}","{'amount': 574, 'percentage': 10.4}",שנה,2
70-79,"{'amount': 32, 'percentage': 11.2}","{'amount': 42, 'percentage': 14.7}",חודש אחרון,5
70-79,"{'amount': 162, 'percentage': 10.2}","{'amount': 236, 'percentage': 14.8}",3 חודשים,4
70-79,"{'amount': 173, 'percentage': 10.2}","{'amount': 253, 'percentage': 14.8}",6 חודשים,3
70-79,"{'amount': 568, 'percentage': 10.3}","{'amount': 853, 'percentage': 15.4}",שנה,2
70-79,"{'amount': 770, 'percentage': 9.5}","{'amount': 1278, 'percentage': 15.8}",מתחילת קורונה,1
80-89,"{'amount': 255, 'percentage': 16}","{'amount': 266, 'percentage': 16.7}",3 חודשים,4
80-89,"{'amount': 864, 'percentage': 15.6}","{'amount': 900, 'percentage': 16.3}",שנה,2
80-89,"{'amount': 271, 'percentage': 15.9}","{'amount': 284, 'percentage': 16.7}",6 חודשים,3
80-89,"{'amount': 36, 'percentage': 12.6}","{'amount': 33, 'percentage': 11.6}",חודש אחרון,5
80-89,"{'amount': 1260, 'percentage': 15.6}","{'amount': 1397, 'percentage': 17.2}",מתחילת קורונה,1
90+,"{'amount': 823, 'percentage': 10.2}","{'amount': 589, 'percentage': 7.3}",מתחילת קורונה,1
90+,"{'amount': 19, 'percentage': 6.7}","{'amount': 11, 'percentage': 3.9}",חודש אחרון,5
90+,"{'amount': 149, 'percentage': 9.3}","{'amount': 93, 'percentage': 5.8}",3 חודשים,4
90+,"{'amount': 160, 'percentage': 9.4}","{'amount': 100, 'percentage': 5.9}",6 חודשים,3
90+,"{'amount': 497, 'percentage': 9}","{'amount': 368, 'percentage': 6.7}",שנה,2
