priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
LastMonth,טנזניה,כתום,2,1753,44,2.51,2022-05-19T00:00:00.000Z,42,2
LastMonth,תורכיה,כתום,2,95572,1014,1.06,2022-05-19T00:00:00.000Z,947,67
LastMonth,בלגיה,כתום,2,9442,139,1.47,2022-05-19T00:00:00.000Z,132,7
LastMonth,קובה,כתום,2,30,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,ונצואלה,כתום,2,33,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,מלדיבים,כתום,2,1165,19,1.63,2022-05-19T00:00:00.000Z,19,0
LastMonth,רומניה,כתום,2,16806,217,1.29,2022-05-19T00:00:00.000Z,211,6
LastMonth,ארמניה,כתום,2,254,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,עירק,כתום,2,14,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,שוודיה,כתום,2,1840,13,0.71,2022-05-19T00:00:00.000Z,13,0
LastMonth,לטביה,כתום,2,1131,7,0.62,2022-05-19T00:00:00.000Z,7,0
LastMonth,בוליביה,כתום,2,32,1,3.13,2022-05-19T00:00:00.000Z,1,0
LastMonth,קפריסין,כתום,2,28094,372,1.32,2022-05-19T00:00:00.000Z,363,9
LastMonth,"קונגו, רפ. דמוק.",כתום,2,5,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,סווזילנד,כתום,2,2,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,הונגריה,כתום,2,23144,326,1.41,2022-05-19T00:00:00.000Z,320,6
LastMonth,זימבאבווה,כתום,2,66,1,1.52,2022-05-19T00:00:00.000Z,1,0
LastMonth,קירג'זסטאן,כתום,2,67,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,אוגנדה,כתום,2,150,4,2.67,2022-05-19T00:00:00.000Z,4,0
LastMonth,קמרון,כתום,2,30,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,גינאה המשוונית,כתום,2,5,0,0,2022-05-19T00:00:00.000Z,0,0
LastMonth,רוסיה,כתום,2,11378,20,0.18,2022-05-19T00:00:00.000Z,14,6
LastMonth,צ'ילה,כתום,2,248,4,1.61,2022-05-19T00:00:00.000Z,1,3
month3,זאיר,כתום,2,86,2,2.33,2022-05-19T00:00:00.000Z,1,1
month3,בוטסואנה,כתום,2,166,16,9.64,2022-05-19T00:00:00.000Z,16,0
month3,לאוס,כתום,2,1,1,100,2022-05-19T00:00:00.000Z,1,0
month3,קמבודיה,כתום,2,61,2,3.28,2022-05-19T00:00:00.000Z,2,0
month3,קוסטה ריקה,כתום,2,1233,40,3.24,2022-05-19T00:00:00.000Z,39,1
month3,תורכמניסטאן,כתום,2,344,5,1.45,2022-05-19T00:00:00.000Z,4,1
month3,גיברלטר,כתום,2,31,0,0,2022-05-19T00:00:00.000Z,0,0
month3,אוקראינה,כתום,2,2100,108,5.14,2022-05-19T00:00:00.000Z,79,29
month3,טרינידד וטובגו,כתום,2,5,0,0,2022-05-19T00:00:00.000Z,0,0
month3,ברזיל,כתום,2,7881,98,1.24,2022-05-19T00:00:00.000Z,30,68
month3,גאנה,כתום,2,574,2,0.35,2022-05-19T00:00:00.000Z,2,0
month3,גויאנה הצרפתית,כתום,2,49,1,2.04,2022-05-19T00:00:00.000Z,1,0
month3,הונגריה,כתום,2,57725,1639,2.84,2022-05-19T00:00:00.000Z,1562,76
month3,זימבאבווה,כתום,2,97,2,2.06,2022-05-19T00:00:00.000Z,2,0
month3,מולדובה,כתום,2,5229,64,1.22,2022-05-19T00:00:00.000Z,58,6
month3,קטר,כתום,2,200,1,0.5,2022-05-19T00:00:00.000Z,1,0
month3,כווית,כתום,2,24,0,0,2022-05-19T00:00:00.000Z,0,0
month3,הונג קונג,כתום,2,273,12,4.4,2022-05-19T00:00:00.000Z,8,4
month3,הממלכה המאוחדת,כתום,2,122597,3178,2.59,2022-05-19T00:00:00.000Z,2874,304
month3,מוזמביק,כתום,2,37,0,0,2022-05-19T00:00:00.000Z,0,0
month3,סוריה,כתום,2,2,0,0,2022-05-19T00:00:00.000Z,0,0
month3,קזחסטאן,כתום,2,581,2,0.34,2022-05-19T00:00:00.000Z,2,0
month3,ניגר,כתום,2,6,0,0,2022-05-19T00:00:00.000Z,0,0
