gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,3 חודשים,47609,7.9,0,0,8,1.2,19,0.8
זכר,0-9,מתחילת קורונה,417612,10.3,7,0.1,31,0.5,111,0.4
זכר,0-9,חודש אחרון,4809,6,0,0,1,0.7,3,0.7
זכר,0-9,שנה,349233,10.8,5,0.1,23,1,80,0.7
זכר,0-9,6 חודשים,278673,10.1,4,0.2,17,1.2,54,0.8
נקבה,0-9,מתחילת קורונה,342149,8.4,5,0,15,0.2,73,0.3
נקבה,0-9,6 חודשים,219606,8,2,0.1,8,0.6,37,0.5
נקבה,0-9,חודש אחרון,4049,5.1,0,0,0,0,3,0.7
נקבה,0-9,3 חודשים,37604,6.2,1,0.1,4,0.6,14,0.6
נקבה,0-9,שנה,284146,8.8,2,0,8,0.3,55,0.5
זכר,10-19,חודש אחרון,3790,4.8,0,0,0,0,1,0.2
זכר,10-19,3 חודשים,41261,6.8,1,0.1,4,0.6,6,0.2
זכר,10-19,6 חודשים,269285,9.8,4,0.2,9,0.6,26,0.4
זכר,10-19,מתחילת קורונה,417492,10.2,7,0.1,23,0.4,77,0.3
זכר,10-19,שנה,321204,9.9,5,0.1,14,0.6,41,0.3
נקבה,10-19,חודש אחרון,4128,5.2,1,0.8,2,1.3,2,0.4
נקבה,10-19,3 חודשים,41461,6.9,1,0.1,3,0.4,8,0.3
נקבה,10-19,מתחילת קורונה,407169,10,8,0.1,24,0.4,78,0.3
נקבה,10-19,6 חודשים,268592,9.8,3,0.1,10,0.7,17,0.3
נקבה,10-19,שנה,322029,9.9,5,0.1,16,0.7,35,0.3
זכר,20-29,מתחילת קורונה,244464,6,24,0.2,54,0.9,241,0.8
זכר,20-29,6 חודשים,144827,5.3,2,0.1,11,0.8,40,0.6
זכר,20-29,חודש אחרון,3184,4,0,0,0,0,4,0.9
זכר,20-29,3 חודשים,31286,5.2,1,0.1,5,0.7,14,0.6
זכר,20-29,שנה,173916,5.4,5,0.1,22,0.9,91,0.8
נקבה,20-29,מתחילת קורונה,349376,8.6,22,0.2,57,0.9,272,0.9
נקבה,20-29,חודש אחרון,4845,6.1,0,0,1,0.7,0,0
נקבה,20-29,3 חודשים,47085,7.8,0,0,1,0.1,4,0.2
נקבה,20-29,6 חודשים,227194,8.3,6,0.2,14,1,27,0.4
נקבה,20-29,שנה,265460,8.2,9,0.2,20,0.8,98,0.8
זכר,30-39,מתחילת קורונה,238797,5.9,53,0.5,102,1.7,626,2.2
זכר,30-39,6 חודשים,157670,5.7,12,0.5,29,2.1,61,0.9
