actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
2041,בני ברק,5379,"נדרשים הסברה, בדיקות ואכיפת בידוד",5488,907
957,ביתר עילית,1312,"נדרשים הסברה, בדיקות ואכיפת בידוד",1842,499
32,עין מאהל,39,"נדרשים הסברה, בדיקות ואכיפת בידוד",183,30
4041,ירושלים,8369,נדרשת הגדלה של מספר הבדיקות,18247,1694
1946,תל אביב - יפו,2919,נדרשת הגדלה של מספר הבדיקות,9144,536
1122,אשדוד,1683,נדרשת הגדלה של מספר הבדיקות,4946,357
649,בית שמש,1249,נדרשת הגדלה של מספר הבדיקות,2069,328
445,מודיעין עילית,947,נדרשת הגדלה של מספר הבדיקות,1620,203
267,אלעד,740,נדרשת הגדלה של מספר הבדיקות,840,137
147,גן יבנה,189,נדרשת הגדלה של מספר הבדיקות,989,115
137,קלנסווה,152,נדרשת הגדלה של מספר הבדיקות,773,117
85,אור עקיבא,95,נדרשת הגדלה של מספר הבדיקות,676,61
61,יבנאל,79,נדרשת הגדלה של מספר הבדיקות,79, קטן מ-15 
26,אכסאל,35,נדרשת הגדלה של מספר הבדיקות,211,20
21,ירוחם,33,נדרשת הגדלה של מספר הבדיקות,174,16
17,אפרת,81,נדרשת הגדלה של מספר הבדיקות,149, קטן מ-15 
15,כפר מנדא,15,נדרשת הגדלה של מספר הבדיקות,112, קטן מ-15 
 קטן מ-15 ,עספיא,19,נדרשת הגדלה של מספר הבדיקות,133, קטן מ-15 
 קטן מ-15 ,ריינה, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,90, קטן מ-15 
774,פתח תקווה,1225,"נדרשת הידברות, הסברה ואכיפה",5277,349
560,ראשון לציון,911,"נדרשת הידברות, הסברה ואכיפה",4782,226
556,לוד,700,"נדרשת הידברות, הסברה ואכיפה",2569,239
509,חולון,816,"נדרשת הידברות, הסברה ואכיפה",3874,218
499,בת ים,857,"נדרשת הידברות, הסברה ואכיפה",2238,120
425,נתניה,726,"נדרשת הידברות, הסברה ואכיפה",3957,141
415,חיפה,691,"נדרשת הידברות, הסברה ואכיפה",4926,227
407,באר שבע,728,"נדרשת הידברות, הסברה ואכיפה",3911,158
391,רמת גן,635,"נדרשת הידברות, הסברה ואכיפה",3154,156
377,רחובות,566,"נדרשת הידברות, הסברה ואכיפה",2794,152
357,רמלה,487,"נדרשת הידברות, הסברה ואכיפה",1992,136
333,קרית גת,451,"נדרשת הידברות, הסברה ואכיפה",1487,153
300,אשקלון,604,"נדרשת הידברות, הסברה ואכיפה",3503,184
291,קרית מלאכי,363,"נדרשת הידברות, הסברה ואכיפה",835,81
267,רהט,465,"נדרשת הידברות, הסברה ואכיפה",898,89
265,רעננה,431,"נדרשת הידברות, הסברה ואכיפה",2126,72
253,מודיעין-מכבים-רעות,390,"נדרשת הידברות, הסברה ואכיפה",2457,96
240,הרצליה,389,"נדרשת הידברות, הסברה ואכיפה",1934,76
