gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,מתחילת קורונה,442816,9.4,8,0.1,34,0.5,125,0.4,3375,3.7
זכר,0-9,3 חודשים,1305,1.3,0,0,0,0,1,0.1,101,2.2
זכר,0-9,שנה,300827,9,5,0.1,20,1,66,0.6,1983,4.9
זכר,0-9,חודש אחרון,533,1.2,0,0,0,0,1,0.2,59,2.3
זכר,0-9,6 חודשים,19759,4,1,0.1,4,0.6,9,0.2,557,3.6
נקבה,0-9,מתחילת קורונה,364878,7.8,4,0,18,0.3,78,0.2,2711,2.9
נקבה,0-9,6 חודשים,17618,3.6,0,0,2,0.3,9,0.2,402,2.6
נקבה,0-9,חודש אחרון,511,1.1,0,0,1,0.6,0,0,34,1.3
נקבה,0-9,3 חודשים,1438,1.5,0,0,1,0.4,0,0,61,1.3
נקבה,0-9,שנה,239519,7.1,2,0.1,11,0.5,42,0.4,1585,3.9
זכר,10-19,6 חודשים,17618,3.6,0,0,1,0.2,4,0.1,125,0.8
זכר,10-19,מתחילת קורונה,441993,9.4,6,0.1,25,0.4,81,0.2,1096,1.2
זכר,10-19,3 חודשים,2871,3,0,0,0,0,0,0,21,0.4
זכר,10-19,שנה,291644,8.7,3,0.1,11,0.5,28,0.3,469,1.2
זכר,10-19,חודש אחרון,1438,3.2,0,0,0,0,0,0,8,0.3
נקבה,10-19,מתחילת קורונה,434164,9.2,7,0.1,23,0.3,83,0.3,1244,1.4
נקבה,10-19,3 חודשים,4118,4.3,0,0,0,0,2,0.2,25,0.5
נקבה,10-19,שנה,293279,8.7,2,0.1,9,0.4,20,0.2,507,1.2
נקבה,10-19,חודש אחרון,1977,4.4,0,0,0,0,1,0.2,16,0.6
נקבה,10-19,6 חודשים,19925,4,0,0,0,0,6,0.2,128,0.8
זכר,20-29,מתחילת קורונה,272529,5.8,26,0.2,61,0.9,254,0.8,1706,1.9
זכר,20-29,6 חודשים,21475,4.4,2,0.2,7,1.1,10,0.3,161,1
זכר,20-29,חודש אחרון,2064,4.5,1,0.7,2,1.3,3,0.6,23,0.9
זכר,20-29,3 חודשים,3732,3.9,1,0.4,5,2,4,0.4,38,0.8
זכר,20-29,שנה,172005,5.1,4,0.1,17,0.8,51,0.5,541,1.3
נקבה,20-29,מתחילת קורונה,387302,8.2,22,0.2,64,1,285,0.9,5492,6
נקבה,20-29,3 חודשים,6094,6.3,0,0,2,0.8,3,0.3,94,2
נקבה,20-29,6 חודשים,30518,6.2,0,0,8,1.2,15,0.4,542,3.5
נקבה,20-29,שנה,264498,7.9,5,0.1,17,0.8,39,0.4,2266,5.6
נקבה,20-29,חודש אחרון,3120,6.9,0,0,2,1.3,1,0.2,46,1.8
זכר,30-39,מתחילת קורונה,273550,5.8,53,0.4,108,1.6,647,2,2404,2.6
זכר,30-39,חודש אחרון,2281,5,0,0,2,1.3,5,1,32,1.2
זכר,30-39,3 חודשים,4480,4.6,0,0,2,0.8,6,0.6,50,1.1
זכר,30-39,6 חודשים,26752,5.4,0,0,5,0.8,20,0.6,217,1.4
זכר,30-39,שנה,191534,5.7,11,0.3,34,1.7,80,0.8,684,1.7
נקבה,30-39,מתחילת קורונה,394897,8.4,40,0.3,116,1.7,609,1.9,5578,6.1
נקבה,30-39,3 חודשים,6522,6.7,0,0,2,0.8,10,1.1,108,2.3
נקבה,30-39,שנה,290496,8.7,8,0.2,25,1.2,80,0.8,2278,5.6
