CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.008046817849305048,2020-03-02T00:00:00.000Z,1,5632,-163,0,1367
0,0,10,0,0,10,10,0.00731528895391368,2020-03-03T00:00:00.000Z,0,7857,-160,0,1367
0,0,12,0,0,12,11,0.008778346744696415,2020-03-04T00:00:00.000Z,0,7012,-162,0,1367
0,0,12,1,0,13,13,0.009509875640087784,2020-03-05T00:00:00.000Z,1,7012,-162,0,1367
1,0,14,2,0,16,16,0.01170446232626189,2020-03-06T00:00:00.000Z,1,5177,-161,0,1367
2,0,17,3,0,20,20,0.01463057790782736,2020-03-07T00:00:00.000Z,1,4861,-161,0,1367
4,0,21,5,0,26,26,0.01901975128017557,2020-03-08T00:00:00.000Z,2,7330,-158,0,1367
5,0,33,6,0,39,39,0.02852962692026335,2020-03-09T00:00:00.000Z,7,6205,-167,0,1367
5,0,53,6,0,59,59,0.04316020482809071,2020-03-10T00:00:00.000Z,2,6021,-154,0,1367
6,0,73,7,1,81,81,0.0592538405267008,2020-03-11T00:00:00.000Z,10,5981,-156,0,1367
6,0,95,7,1,103,101,0.0753474762253109,2020-03-12T00:00:00.000Z,6,5983,-155,0,1367
6,0,112,7,4,123,122,0.08997805413313825,2020-03-13T00:00:00.000Z,10,4121,-141,0,1367
4,0,152,6,4,162,161,0.1185076810534016,2020-03-14T00:00:00.000Z,20,3692,-151,0,1367
6,0,187,9,6,202,200,0.1477688368690563,2020-03-15T00:00:00.000Z,37,5490,-152,0,1367
7,0,205,11,5,221,215,0.1616678858814923,2020-03-16T00:00:00.000Z,27,4759,-94,0,1367
7,0,238,12,6,256,256,0.1872713972201902,2020-03-17T00:00:00.000Z,46,4338,-46,0,1367
7,0,279,16,11,306,269,0.2238478419897586,2020-03-18T00:00:00.000Z,54,3920,54,0,1367
12,0,263,21,11,295,264,0.2158010241404536,2020-03-19T00:00:00.000Z,31,4053,184,0,1367
