name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Kafar Kanna,2.5,ירוק,0.9,1,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,69.30,60.13,35.14,
Kafar Manda,3,ירוק,1.0,1,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,61.91,52.15,26.17,
Ilut,2.2,ירוק,0.0,0,0, 0 ,ירוק,2023-01-19T00:00:00.000Z,60.19,52.25,26.79,0.0
Kafar Misr,2.7,ירוק,0.0,0,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,68.72,58.46,33.84,
Majd Al-Kurum,2.8,ירוק,1.9,6,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,74.23,60.22,33.74,
Mazra'a,4.2,ירוק,5.0,4,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,67.47,61.63,38.22,
Mi'elya,3.7,ירוק,9.2,9,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,69.24,64.22,45.95,
Meshhed,2.3,ירוק,0.0,0,0, 0 ,ירוק,2023-01-19T00:00:00.000Z,64.39,55.15,29.60,0.0
Ein Naqquba,4.1,ירוק,0.0,0,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,60.56,49.29,27.47,
Nahef,2.1,ירוק,2.2,1,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,65.70,56.28,32.11,
Na'ura,2,ירוק,0.0,0,0, 0 ,ירוק,2023-01-19T00:00:00.000Z,73.05,63.50,37.61,0.0
Sajur,3.6,ירוק,4.6,14,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,78.23,68.10,48.42,
Sulam,4.7,ירוק,3.8,11,0,קטן מ-15,צהוב,2023-01-19T00:00:00.000Z,80.06,70.32,44.11,
Uzeir,3.2,ירוק,0.0,0,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,65.65,59.16,31.14,
I'billin,4.2,צהוב,3.7,6,0,קטן מ-15,ירוק,2023-01-19T00:00:00.000Z,67.18,58.85,36.74,
Giv'at Ze'ev,5.8,ירוק,4.7,22,0,18,צהוב,2023-01-19T00:00:00.000Z,59.53,50.99,35.83,9.4
