age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,360611,327111,1538337,23.4,21.3
20-29,1003704,924025,1300361,77.2,71.1
30-39,972898,911085,1197026,81.3,76.1
40-49,933263,879653,1098556,85,80.1
50-59,758714,716350,849966,89.3,84.3
60-69,669540,640927,741639,90.3,86.4
70-79,480260,465329,490784,97.9,94.8
80-89,215599,208785,225538,95.6,92.6
90+,50552,48218,51496,98.2,93.6
