name,value
פראמדיקים,0
חובשי רפואת חירום,0
קלינאות תקשורת,5
ריפוי בעיסוק,8
פסיכולוגיה,10
שירות סוציאלי,20
פיזיותרפיה,28
מעבדה,34
מערך לוגיסטי,38
רוקחות,45
כוח עזר,99
סקטורים אחרים,185
מינהל ומשק,372
