age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,268068,183729,618088,43.4,29.7,16,0
16-19,466034,403760,583545,79.9,69.2,628,0.1
20-29,1040337,946099,1300361,80,72.8,9925,0.8
30-39,1008295,936214,1197026,84.2,78.2,45018,3.8
40-49,958292,896520,1098556,87.2,81.6,213355,19.4
50-59,768961,724723,849966,90.5,85.3,356184,41.9
60-69,678413,650190,741639,91.5,87.7,461877,62.3
70-79,471381,458882,490784,96,93.5,381633,77.8
80-89,213398,207316,225538,94.6,91.9,166092,73.6
90+,48503,46650,51496,94.2,90.6,35219,68.4
