name,value
פראמדיקים,13
פסיכולוגיה,20
קלינאות תקשורת,24
ריפוי בעיסוק,39
שירות סוציאלי,42
פיזיותרפיה,50
מעבדה,53
חובשי רפואת חירום,62
כוח עזר,71
רוקחות,81
מערך לוגיסטי,85
מינהל ומשק,401
סקטורים אחרים,1401
