section,female,male,period,order_period
0-9,"{'amount': 61, 'percentage': 0.2}","{'amount': 93, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 23, 'percentage': 0.6}","{'amount': 32, 'percentage': 0.8}",חודש אחרון,5
0-9,"{'amount': 26, 'percentage': 0.6}","{'amount': 36, 'percentage': 0.8}",3 חודשים,4
0-9,"{'amount': 40, 'percentage': 0.4}","{'amount': 61, 'percentage': 0.7}",6 חודשים,3
0-9,"{'amount': 51, 'percentage': 0.4}","{'amount': 71, 'percentage': 0.5}",שנה,2
10-19,"{'amount': 13, 'percentage': 0.3}","{'amount': 19, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 40, 'percentage': 0.3}","{'amount': 43, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 10, 'percentage': 0.2}","{'amount': 15, 'percentage': 0.4}",חודש אחרון,5
10-19,"{'amount': 63, 'percentage': 0.2}","{'amount': 64, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 25, 'percentage': 0.3}","{'amount': 31, 'percentage': 0.3}",6 חודשים,3
20-29,"{'amount': 13, 'percentage': 0.3}","{'amount': 24, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 83, 'percentage': 0.9}","{'amount': 73, 'percentage': 0.8}",6 חודשים,3
20-29,"{'amount': 22, 'percentage': 0.5}","{'amount': 28, 'percentage': 0.6}",3 חודשים,4
20-29,"{'amount': 244, 'percentage': 0.9}","{'amount': 206, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 144, 'percentage': 1.1}","{'amount': 137, 'percentage': 1}",שנה,2
30-39,"{'amount': 39, 'percentage': 1}","{'amount': 35, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 53, 'percentage': 1.2}","{'amount': 42, 'percentage': 0.9}",3 חודשים,4
30-39,"{'amount': 186, 'percentage': 2.1}","{'amount': 180, 'percentage': 2}",6 חודשים,3
30-39,"{'amount': 332, 'percentage': 2.5}","{'amount': 325, 'percentage': 2.4}",שנה,2
30-39,"{'amount': 545, 'percentage': 2}","{'amount': 561, 'percentage': 2.1}",מתחילת קורונה,1
40-49,"{'amount': 497, 'percentage': 3.7}","{'amount': 682, 'percentage': 5.1}",שנה,2
40-49,"{'amount': 278, 'percentage': 3.1}","{'amount': 379, 'percentage': 4.3}",6 חודשים,3
40-49,"{'amount': 63, 'percentage': 1.4}","{'amount': 107, 'percentage': 2.3}",3 חודשים,4
40-49,"{'amount': 50, 'percentage': 1.2}","{'amount': 82, 'percentage': 2}",חודש אחרון,5
40-49,"{'amount': 876, 'percentage': 3.3}","{'amount': 1295, 'percentage': 4.9}",מתחילת קורונה,1
50-59,"{'amount': 1464, 'percentage': 5.5}","{'amount': 2109, 'percentage': 7.9}",מתחילת קורונה,1
50-59,"{'amount': 126, 'percentage': 3.1}","{'amount': 186, 'percentage': 4.5}",חודש אחרון,5
50-59,"{'amount': 149, 'percentage': 3.3}","{'amount': 213, 'percentage': 4.7}",3 חודשים,4
50-59,"{'amount': 424, 'percentage': 4.8}","{'amount': 574, 'percentage': 6.5}",6 חודשים,3
50-59,"{'amount': 747, 'percentage': 5.6}","{'amount': 957, 'percentage': 7.2}",שנה,2
60-69,"{'amount': 295, 'percentage': 6.5}","{'amount': 412, 'percentage': 9}",3 חודשים,4
60-69,"{'amount': 2057, 'percentage': 7.7}","{'amount': 3065, 'percentage': 11.5}",מתחילת קורונה,1
60-69,"{'amount': 262, 'percentage': 6.4}","{'amount': 361, 'percentage': 8.8}",חודש אחרון,5
60-69,"{'amount': 660, 'percentage': 7.4}","{'amount': 871, 'percentage': 9.8}",6 חודשים,3
60-69,"{'amount': 1032, 'percentage': 7.7}","{'amount': 1326, 'percentage': 9.9}",שנה,2
70-79,"{'amount': 475, 'percentage': 10.4}","{'amount': 634, 'percentage': 13.9}",3 חודשים,4
70-79,"{'amount': 1287, 'percentage': 9.6}","{'amount': 1576, 'percentage': 11.8}",שנה,2
70-79,"{'amount': 421, 'percentage': 10.3}","{'amount': 581, 'percentage': 14.2}",חודש אחרון,5
70-79,"{'amount': 2523, 'percentage': 9.5}","{'amount': 3462, 'percentage': 13}",מתחילת קורונה,1
70-79,"{'amount': 871, 'percentage': 9.8}","{'amount': 1098, 'percentage': 12.3}",6 חודשים,3
80-89,"{'amount': 1100, 'percentage': 12.4}","{'amount': 1055, 'percentage': 11.9}",6 חודשים,3
80-89,"{'amount': 699, 'percentage': 15.3}","{'amount': 676, 'percentage': 14.8}",3 חודשים,4
80-89,"{'amount': 651, 'percentage': 15.9}","{'amount': 620, 'percentage': 15.1}",חודש אחרון,5
80-89,"{'amount': 1532, 'percentage': 11.5}","{'amount': 1431, 'percentage': 10.7}",שנה,2
80-89,"{'amount': 2872, 'percentage': 10.8}","{'amount': 2802, 'percentage': 10.5}",מתחילת קורונה,1
90+,"{'amount': 720, 'percentage': 5.4}","{'amount': 445, 'percentage': 3.3}",שנה,2
90+,"{'amount': 563, 'percentage': 6.3}","{'amount': 344, 'percentage': 3.9}",6 חודשים,3
90+,"{'amount': 361, 'percentage': 7.9}","{'amount': 246, 'percentage': 5.4}",3 חודשים,4
90+,"{'amount': 335, 'percentage': 8.2}","{'amount': 235, 'percentage': 5.7}",חודש אחרון,5
90+,"{'amount': 1399, 'percentage': 5.2}","{'amount': 915, 'percentage': 3.4}",מתחילת קורונה,1
