instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,73,2022-02-13T00:00:00.000Z
פוריה,42.3,69.3,2022-02-13T00:00:00.000Z
הכרמל,56.6,84.5,2022-02-13T00:00:00.000Z
סורוקה,58.5,71.4,2022-02-13T00:00:00.000Z
בני ציון,60.3,76.7,2022-02-13T00:00:00.000Z
וולפסון,60.7,79.2,2022-02-13T00:00:00.000Z
רבין ק. השרון,60.5,67.6,2022-02-13T00:00:00.000Z
לניאדו,62.8,107.8,2022-02-13T00:00:00.000Z
איכילוב,64,114.6,2022-02-13T00:00:00.000Z
הדסה הר הצופים,75,71.5,2022-02-13T00:00:00.000Z
"רמב""ם",78.3,88.9,2022-02-13T00:00:00.000Z
מאיר,80,82.8,2022-02-13T00:00:00.000Z
המרכזי בעמק,80,73.5,2022-02-13T00:00:00.000Z
שערי צדק,83.3,108.9,2022-02-13T00:00:00.000Z
שמיר,84.6,82,2022-02-13T00:00:00.000Z
נהריה,84.7,82.9,2022-02-13T00:00:00.000Z
שיבא,85.8,104.4,2022-02-13T00:00:00.000Z
ברזילי,87,80,2022-02-13T00:00:00.000Z
יוספטל,87.5,53.8,2022-02-13T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.5,2022-02-13T00:00:00.000Z
רבין ק. בילינסון,89,89.7,2022-02-13T00:00:00.000Z
זיו צפת,95.3,75.8,2022-02-13T00:00:00.000Z
אסותא אשדוד,96.6,94.2,2022-02-13T00:00:00.000Z
הדסה עין כרם,102.9,89.7,2022-02-13T00:00:00.000Z
קפלן,103.3,97.5,2022-02-13T00:00:00.000Z
