date,amountNoSurvey,amountSurvey
2020-02-20T00:00:00.000Z,29,0
2020-02-21T00:00:00.000Z,28,0
2020-02-22T00:00:00.000Z,13,0
2020-02-23T00:00:00.000Z,53,3
2020-02-24T00:00:00.000Z,74,0
2020-02-25T00:00:00.000Z,108,0
2020-02-26T00:00:00.000Z,105,3
2020-02-27T00:00:00.000Z,170,1
2020-02-28T00:00:00.000Z,117,1
2020-02-29T00:00:00.000Z,158,0
2020-03-01T00:00:00.000Z,170,8
2020-03-02T00:00:00.000Z,166,4
2020-03-03T00:00:00.000Z,222,5
2020-03-04T00:00:00.000Z,122,6
2020-03-05T00:00:00.000Z,159,6
2020-03-06T00:00:00.000Z,271,3
2020-03-07T00:00:00.000Z,317,7
2020-03-08T00:00:00.000Z,412,5
2020-03-09T00:00:00.000Z,503,12
2020-03-10T00:00:00.000Z,482,13
2020-03-11T00:00:00.000Z,367,9
2020-03-12T00:00:00.000Z,573,21
2020-03-13T00:00:00.000Z,657,32
2020-03-14T00:00:00.000Z,584,27
2020-03-15T00:00:00.000Z,1079,46
2020-03-16T00:00:00.000Z,1268,53
2020-03-17T00:00:00.000Z,1513,53
2020-03-18T00:00:00.000Z,1930,60
2020-03-19T00:00:00.000Z,1897,86
2020-03-20T00:00:00.000Z,2156,75
2020-03-21T00:00:00.000Z,1991,75
2020-03-22T00:00:00.000Z,3078,141
2020-03-23T00:00:00.000Z,3356,144
2020-03-24T00:00:00.000Z,4442,198
2020-03-25T00:00:00.000Z,5555,232
2020-03-26T00:00:00.000Z,6049,234
2020-03-27T00:00:00.000Z,5279,305
2020-03-28T00:00:00.000Z,5196,339
2020-03-29T00:00:00.000Z,6978,259
2020-03-30T00:00:00.000Z,6569,253
2020-03-31T00:00:00.000Z,7186,345
2020-04-01T00:00:00.000Z,8085,493
2020-04-02T00:00:00.000Z,8732,737
2020-04-03T00:00:00.000Z,9243,536
2020-04-04T00:00:00.000Z,5552,436
2020-04-05T00:00:00.000Z,8023,754
2020-04-06T00:00:00.000Z,6362,407
2020-04-07T00:00:00.000Z,5701,475
2020-04-08T00:00:00.000Z,4503,445
2020-04-09T00:00:00.000Z,4617,385
2020-04-10T00:00:00.000Z,5496,831
2020-04-11T00:00:00.000Z,4588,1175
2020-04-12T00:00:00.000Z,7006,1518
2020-04-13T00:00:00.000Z,7958,1229
2020-04-14T00:00:00.000Z,8573,2392
2020-04-15T00:00:00.000Z,6301,1498
2020-04-16T00:00:00.000Z,8692,2517
2020-04-17T00:00:00.000Z,7759,2213
2020-04-18T00:00:00.000Z,6613,2347
2020-04-19T00:00:00.000Z,7568,2429
2020-04-20T00:00:00.000Z,10636,2659
2020-04-21T00:00:00.000Z,9256,2378
2020-04-22T00:00:00.000Z,9123,2649
2020-04-23T00:00:00.000Z,9641,2618
2020-04-24T00:00:00.000Z,7677,2800
2020-04-25T00:00:00.000Z,5543,1814
2020-04-26T00:00:00.000Z,4726,2616
2020-04-27T00:00:00.000Z,7732,1651
2020-04-28T00:00:00.000Z,7258,1557
2020-04-29T00:00:00.000Z,5324,2069
2020-04-30T00:00:00.000Z,6455,2138
2020-05-01T00:00:00.000Z,6651,2570
2020-05-02T00:00:00.000Z,3718,1043
2020-05-03T00:00:00.000Z,4822,2578
2020-05-04T00:00:00.000Z,5734,2220
2020-05-05T00:00:00.000Z,5906,1781
2020-05-06T00:00:00.000Z,6209,2337
2020-05-07T00:00:00.000Z,6316,2814
2020-05-08T00:00:00.000Z,5579,1608
2020-05-09T00:00:00.000Z,2335,1173
2020-05-10T00:00:00.000Z,3302,1108
2020-05-11T00:00:00.000Z,5586,2241
2020-05-12T00:00:00.000Z,5068,1613
2020-05-13T00:00:00.000Z,4879,2646
2020-05-14T00:00:00.000Z,4885,2794
2020-05-15T00:00:00.000Z,3132,1941
2020-05-16T00:00:00.000Z,988,355
2020-05-17T00:00:00.000Z,2824,1395
2020-05-18T00:00:00.000Z,4471,2325
2020-05-19T00:00:00.000Z,4665,1837
2020-05-20T00:00:00.000Z,4543,1077
2020-05-21T00:00:00.000Z,4228,1373
2020-05-22T00:00:00.000Z,2954,1661
2020-05-23T00:00:00.000Z,589,81
2020-05-24T00:00:00.000Z,2700,739
2020-05-25T00:00:00.000Z,3703,1147
2020-05-26T00:00:00.000Z,4361,2153
2020-05-27T00:00:00.000Z,4207,2235
2020-05-28T00:00:00.000Z,3168,1862
2020-05-29T00:00:00.000Z,1540,263
2020-05-30T00:00:00.000Z,928,113
2020-05-31T00:00:00.000Z,4560,939
2020-06-01T00:00:00.000Z,5607,2300
2020-06-02T00:00:00.000Z,8600,2977
2020-06-03T00:00:00.000Z,9460,3582
2020-06-04T00:00:00.000Z,11574,3154
2020-06-05T00:00:00.000Z,12813,3538
2020-06-06T00:00:00.000Z,10282,1160
2020-06-07T00:00:00.000Z,12659,2232
2020-06-08T00:00:00.000Z,12224,2264
2020-06-09T00:00:00.000Z,11949,2918
2020-06-10T00:00:00.000Z,14064,4102
2020-06-11T00:00:00.000Z,12640,2924
2020-06-12T00:00:00.000Z,10812,2067
2020-06-13T00:00:00.000Z,5793,1054
2020-06-14T00:00:00.000Z,7048,1586
2020-06-15T00:00:00.000Z,11243,2866
2020-06-16T00:00:00.000Z,12860,3064
2020-06-17T00:00:00.000Z,12738,2899
2020-06-18T00:00:00.000Z,13187,3753
2020-06-19T00:00:00.000Z,10604,1844
2020-06-20T00:00:00.000Z,5089,689
2020-06-21T00:00:00.000Z,7319,1590
2020-06-22T00:00:00.000Z,11297,2163
2020-06-23T00:00:00.000Z,15054,4108
2020-06-24T00:00:00.000Z,15730,2139
2020-06-25T00:00:00.000Z,14898,3081
2020-06-26T00:00:00.000Z,13302,2818
2020-06-27T00:00:00.000Z,8757,1294
2020-06-28T00:00:00.000Z,8736,1154
2020-06-29T00:00:00.000Z,16862,3396
2020-06-30T00:00:00.000Z,16704,3444
2020-07-01T00:00:00.000Z,17658,3171
2020-07-02T00:00:00.000Z,20941,3323
2020-07-03T00:00:00.000Z,18059,2405
2020-07-04T00:00:00.000Z,14842,1859
2020-07-05T00:00:00.000Z,17621,2655
2020-07-06T00:00:00.000Z,21007,3741
2020-07-07T00:00:00.000Z,23874,3825
2020-07-08T00:00:00.000Z,24553,4041
2020-07-09T00:00:00.000Z,25199,3704
2020-07-10T00:00:00.000Z,21417,3348
2020-07-11T00:00:00.000Z,17035,2211
2020-07-12T00:00:00.000Z,17245,3048
2020-07-13T00:00:00.000Z,23106,4371
2020-07-14T00:00:00.000Z,23411,6567
2020-07-15T00:00:00.000Z,23397,4520
2020-07-16T00:00:00.000Z,23110,5343
2020-07-17T00:00:00.000Z,19151,4430
2020-07-18T00:00:00.000Z,14942,3270
2020-07-19T00:00:00.000Z,13258,4557
2020-07-20T00:00:00.000Z,20239,4253
2020-07-21T00:00:00.000Z,21089,5677
2020-07-22T00:00:00.000Z,21130,4585
2020-07-23T00:00:00.000Z,23095,6189
2020-07-24T00:00:00.000Z,18428,4269
2020-07-25T00:00:00.000Z,11019,3617
2020-07-26T00:00:00.000Z,10508,919
2020-07-27T00:00:00.000Z,21491,5753
2020-07-28T00:00:00.000Z,19699,6070
2020-07-29T00:00:00.000Z,20255,5200
2020-07-30T00:00:00.000Z,17576,3646
2020-07-31T00:00:00.000Z,16091,6050
2020-08-01T00:00:00.000Z,5632,1824
2020-08-02T00:00:00.000Z,8614,1004
2020-08-03T00:00:00.000Z,17459,5093
2020-08-04T00:00:00.000Z,18838,6251
2020-08-05T00:00:00.000Z,18834,6059
2020-08-06T00:00:00.000Z,19968,7872
2020-08-07T00:00:00.000Z,18134,6398
2020-08-08T00:00:00.000Z,6342,1794
2020-08-09T00:00:00.000Z,9754,1789
2020-08-10T00:00:00.000Z,18355,5020
2020-08-11T00:00:00.000Z,20288,6285
2020-08-12T00:00:00.000Z,19704,5589
2020-08-13T00:00:00.000Z,19543,8270
2020-08-14T00:00:00.000Z,15470,4613
2020-08-15T00:00:00.000Z,7548,1316
2020-08-16T00:00:00.000Z,10445,1176
2020-08-17T00:00:00.000Z,18273,6621
2020-08-18T00:00:00.000Z,21017,5764
2020-08-19T00:00:00.000Z,21128,6112
2020-08-20T00:00:00.000Z,21184,6665
2020-08-21T00:00:00.000Z,20331,6032
2020-08-22T00:00:00.000Z,7785,2734
2020-08-23T00:00:00.000Z,11569,1038
2020-08-24T00:00:00.000Z,21672,7129
2020-08-25T00:00:00.000Z,23701,9117
2020-08-26T00:00:00.000Z,24489,8583
2020-08-27T00:00:00.000Z,26260,8935
2020-08-28T00:00:00.000Z,18236,4120
2020-08-29T00:00:00.000Z,8918,1253
2020-08-30T00:00:00.000Z,10401,2510
2020-08-31T00:00:00.000Z,24729,5924
2020-09-01T00:00:00.000Z,20932,6594
2020-09-02T00:00:00.000Z,25882,8695
2020-09-03T00:00:00.000Z,26660,7319
2020-09-04T00:00:00.000Z,24255,6483
2020-09-05T00:00:00.000Z,12237,3055
2020-09-06T00:00:00.000Z,16821,1904
2020-09-07T00:00:00.000Z,32674,7341
2020-09-08T00:00:00.000Z,35939,8460
2020-09-09T00:00:00.000Z,37128,7981
2020-09-10T00:00:00.000Z,40816,6565
2020-09-11T00:00:00.000Z,36458,6330
2020-09-12T00:00:00.000Z,24666,5118
2020-09-13T00:00:00.000Z,28573,5303
2020-09-14T00:00:00.000Z,39082,7200
2020-09-15T00:00:00.000Z,48317,7990
2020-09-16T00:00:00.000Z,44454,8504
2020-09-17T00:00:00.000Z,50938,6523
2020-09-18T00:00:00.000Z,45521,7713
2020-09-19T00:00:00.000Z,33504,8268
2020-09-20T00:00:00.000Z,20436,3075
2020-09-21T00:00:00.000Z,29146,4284
2020-09-22T00:00:00.000Z,48807,12269
2020-09-23T00:00:00.000Z,48918,8817
2020-09-24T00:00:00.000Z,55797,10359
2020-09-25T00:00:00.000Z,51677,9539
2020-09-26T00:00:00.000Z,37006,8049
2020-09-27T00:00:00.000Z,21754,2439
2020-09-28T00:00:00.000Z,7177,514
2020-09-29T00:00:00.000Z,30401,2769
2020-09-30T00:00:00.000Z,57613,10053
2020-10-01T00:00:00.000Z,54283,9375
2020-10-02T00:00:00.000Z,50970,8862
2020-10-03T00:00:00.000Z,17936,5571
2020-10-04T00:00:00.000Z,22581,2262
2020-10-05T00:00:00.000Z,41171,8536
2020-10-06T00:00:00.000Z,37048,7694
2020-10-07T00:00:00.000Z,38258,8247
2020-10-08T00:00:00.000Z,38984,8203
2020-10-09T00:00:00.000Z,29367,5840
2020-10-10T00:00:00.000Z,10484,1811
2020-10-11T00:00:00.000Z,19285,2004
2020-10-12T00:00:00.000Z,37170,7156
2020-10-13T00:00:00.000Z,33098,9329
2020-10-14T00:00:00.000Z,31017,7647
2020-10-15T00:00:00.000Z,28826,6696
2020-10-16T00:00:00.000Z,27644,5299
2020-10-17T00:00:00.000Z,11485,2733
2020-10-18T00:00:00.000Z,22653,3379
2020-10-19T00:00:00.000Z,33406,6402
2020-10-20T00:00:00.000Z,31444,9098
2020-10-21T00:00:00.000Z,34123,7319
2020-10-22T00:00:00.000Z,29116,4605
2020-10-23T00:00:00.000Z,25494,3779
2020-10-24T00:00:00.000Z,4963,1348
2020-10-25T00:00:00.000Z,18213,2504
2020-10-26T00:00:00.000Z,29505,9801
2020-10-27T00:00:00.000Z,29904,10244
2020-10-28T00:00:00.000Z,26507,7370
2020-10-29T00:00:00.000Z,28500,7849
2020-10-30T00:00:00.000Z,24480,7235
2020-10-31T00:00:00.000Z,5996,1718
2020-11-01T00:00:00.000Z,17952,3897
2020-11-02T00:00:00.000Z,26077,8421
2020-11-03T00:00:00.000Z,29004,11190
2020-11-04T00:00:00.000Z,30395,8295
2020-11-05T00:00:00.000Z,27474,6993
2020-11-06T00:00:00.000Z,24996,5734
2020-11-07T00:00:00.000Z,7083,994
2020-11-08T00:00:00.000Z,18256,3230
2020-11-09T00:00:00.000Z,27636,6753
2020-11-10T00:00:00.000Z,30662,9881
2020-11-11T00:00:00.000Z,32025,7493
2020-11-12T00:00:00.000Z,32861,6465
2020-11-13T00:00:00.000Z,28286,6746
2020-11-14T00:00:00.000Z,11185,1470
2020-11-15T00:00:00.000Z,21374,1928
2020-11-16T00:00:00.000Z,38361,9499
2020-11-17T00:00:00.000Z,40618,14836
2020-11-18T00:00:00.000Z,37507,8135
2020-11-19T00:00:00.000Z,42207,12956
2020-11-20T00:00:00.000Z,36719,6504
2020-11-21T00:00:00.000Z,13900,1705
2020-11-22T00:00:00.000Z,29395,4919
2020-11-23T00:00:00.000Z,42665,9835
2020-11-24T00:00:00.000Z,45736,12990
2020-11-25T00:00:00.000Z,47953,11688
2020-11-26T00:00:00.000Z,41493,11883
2020-11-27T00:00:00.000Z,40019,7952
2020-11-28T00:00:00.000Z,13967,3215
2020-11-29T00:00:00.000Z,33786,5736
2020-11-30T00:00:00.000Z,47299,10235
2020-12-01T00:00:00.000Z,49705,14275
2020-12-02T00:00:00.000Z,57386,13900
2020-12-03T00:00:00.000Z,51439,12744
2020-12-04T00:00:00.000Z,52585,7818
2020-12-05T00:00:00.000Z,22324,3045
2020-12-06T00:00:00.000Z,36923,5143
2020-12-07T00:00:00.000Z,55144,10948
2020-12-08T00:00:00.000Z,57587,11572
2020-12-09T00:00:00.000Z,59859,14012
2020-12-10T00:00:00.000Z,62873,13465
2020-12-11T00:00:00.000Z,63035,12653
2020-12-12T00:00:00.000Z,38296,5699
2020-12-13T00:00:00.000Z,46025,4490
2020-12-14T00:00:00.000Z,63012,9200
2020-12-15T00:00:00.000Z,71141,11176
2020-12-16T00:00:00.000Z,72616,9863
2020-12-17T00:00:00.000Z,68818,10307
