age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,29956,4956,1505185,2,0.3
20-29,191432,38403,1277634,15,3
30-39,229475,57404,1186386,19.3,4.8
40-49,410014,85906,1080768,37.9,7.9
50-59,469287,111182,832687,56.4,13.4
60-69,526156,276526,735380,71.5,37.6
70-79,411036,244058,462148,88.9,52.8
80-89,182408,99607,222547,82,44.8
90+,42707,23094,50589,84.4,45.7
