cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Juwei'id,קטן מ-15,אין מידע,16,34.42,5.78,צהוב,4649
Abu Sinan,קטן מ-15,אין מידע,27,18.87,4.13,ירוק,14306
Afula,קטן מ-15,אין מידע,106,18.65,5.36,צהוב,56844
Akko,קטן מ-15,אין מידע,112,22.62,5.21,צהוב,49517
Ar'ara,קטן מ-15,אין מידע,19,7.44,3.28,ירוק,25525
Arad,קטן מ-15,אין מידע,22,8.10,4.23,ירוק,27170
Ari'el,0,0,24,11.71,4.02,ירוק,20488
Arrabe,קטן מ-15,אין מידע,19,7.23,3.25,ירוק,26274
Ashdod,20,7.63,262,11.58,4.67,צהוב,226329
Ashqelon,28,9.00,311,21.24,4.98,צהוב,146442
Azor,קטן מ-15,אין מידע,26,19.66,4.15,ירוק,13228
Baqa Al-Gharbiyye,קטן מ-15,אין מידע,24,7.88,5.71,צהוב,30448
Bat Yam,19,8.02,237,18.55,4.81,צהוב,127772
Be'er Sheva,32,8.16,392,18.61,4.85,צהוב,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,29,10.06,5.7,צהוב,28818
Beit Jann,קטן מ-15,אין מידע,16,13.15,4.7,צהוב,12169
Bene Beraq,קטן מ-15,אין מידע,73,3.51,1.16,ירוק,208031
Bet She'an,קטן מ-15,אין מידע,41,21.60,4.29,ירוק,18980
Bet Shemesh,קטן מ-15,אין מידע,49,3.71,3.85,ירוק,132210
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,40,25.05,4.02,ירוק,15971
Deir Al-Asad,קטן מ-15,אין מידע,20,15.74,5.23,צהוב,12710
Dimona,קטן מ-15,אין מידע,44,12.59,5.01,צהוב,34954
Elat,קטן מ-15,אין מידע,43,8.19,4.78,צהוב,52507
Even Yehuda,קטן מ-15,אין מידע,28,19.95,5.64,צהוב,14036
Gan Yavne,0,0,25,10.47,6.98,כתום,23887
Ganne Tiqwa,קטן מ-15,אין מידע,43,19.99,5.11,צהוב,21508
Gedera,קטן מ-15,אין מידע,39,13.54,3.96,ירוק,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,43,15.79,4.58,צהוב,27236
Giv'atayim,קטן מ-15,אין מידע,98,16.10,5.2,צהוב,60872
